белеть белеющем
благодаря благодаря
бояться боятся
бушевать бушующее
бывать бывают
быть суть
важно важно
вбок вбок
верный вернее
весь всей
ветер ветер ветра
вовремя вовремя
волна волн
вопрос вопрос
вперёд вперед
вслед вслед
встречный встречный
всё всё
второе второе
выполнять выполняет
выучить выучить
галс галс галсами галсом
год лет
голос голосов
давать дает
давить давит
далёкий далеких
двигаться движется движутся
движение движение движением движения
дед дед
дело дело
детский детская
динозавр динозавры
длинный длиннее
другой другую
дуть дует
животное животные животных
жить живет
задать задайте
закалённый закаленные
замечательный замечательное
занимательный занимательные
запомнить запомнил
защитить защищены
зигзаг зигзагами
зимой зимой
знакомый знакомо
знать знаете знать
значение значение
идти идет
известный известные
изготовление изготовления
изобретение изобретения
информация информация
использование использовании
история история
каждый каждый
карта карта
китаец китайцы
команда команды
континент континенты
корабль корабли корабль
космос космос
косой косые
косых косых
который которые который
красивый красивые
культура культура
левый левым
лермонтов лермонтов
лермонтовский лермонтовское
любить любил любят
материал материалов
матрос матросы
менять меняя
михаил михаил
море море
мороз мороз
морской морских
моряк моряки
мчаться мчится
наверное наверное
навигатор навигатор
надувать надувает
называть называют
называться называется
написать написал
направление направление
наслать нашли
начало начало
небольшой небольшими
незнакомый незнакомое
немой нем
ночь ночь
обязательный обязательна
один одну
они ними
онлайн онлайн
ответ ответа
ответить ответить
относительно относительно
отрезок отрезок
оценить оцените
очень очень
парус паруса парусами парусе парусов
парусник парусник парусника парусникам парусниках паруснике
переменный переменными
пл пл
плыть плыть
повернуться повернуться
поворачиваться поворачивается поворачиваются
полностью полностью
положение положение
помощь помощью
понять понять
почему почему
поэт поэт
право права
правовой правовая
правый правым
праздник праздники
представить представить
приводить приводят
прийтись придется
природа природа
произведение произведениях
простор просторах
против против
проходить проходит
процесс процесс
прямо прямо
прямой прямые
путь пути
работа работу
разделыпопулярноезадать разделыпопулярноезадать
размер размеров
разница разница
разный разных
разобраться разберемся
растение растения
ребята ребята
руль руль
русский русский
сайт сайта
самый самые
свой своих свой
сделать сделай
сила силе
слева слева
слегка слегка
слово слова слово
сначала сначала
снегурочка снегурочка
сносить сносит
состоять состоит
спорт спорт
справа справа
среди среди
ссылка ссылка
статья статью статьям
стихотворение стихотворение
стихотворный стихотворные
сторона сторону
страна страны
строчка строчки
судно судно
судный судна
тайна тайне
такой такое
техника техника
течение течение
тот ту
транспорт транспорт
трудность трудностей
трудный трудное
ты тебе
тыс тыс
удаваться удается
умелый умелые
упоминать упоминал
управляться управляется
факт факты
форма форм
хотеть хочу
хранить хранили
цивилизациязрение цивилизациязрение
чавинскай чавинская
часто часто
часть часть
человек человек человека
читать читая
шёлк шелка
энциклопедия энциклопедия
энциклопедиявсе энциклопедиявсе
это это
юриевич юрьевич
