акула акул акулы
белый белыми
близкий близкие
богатый богатейшие
быть будут
вертикально вертикально
вид виды
включать включает
вначале вначале
внутри внутри
вода воде
возможность возможности
вопрос вопрос
время время
всё всё
выкотёнок выкотят
голос голосов
горизонтальный горизонтальным
громкий громким
громко громко
громоподобный громоподобного
два двух
детский детская
диапазон диапазон
динозавр динозавры
длинный длиннее
долго долго
домашний домашних
другой другую
ещё ещё
животное животные животных
загрохотать загрохочет
задать задайте
зал залов
замечательный замечательного
занимательный занимательные
защитить защищены
звук звук звуки звуком
звучать звучать
зимой зимой
знать знаете знать
значит значит
зрение зрение
издавать издают
изобретение изобретения
именно именно
инструмент инструмент инструмента инструментов
интересно интересно
информация информация
исполнитель исполнитель
использование использовании
история история
итальянский итальянских
карта карта
касаться касаются
клавесин клавесин
клавиша клавишам клавиши
клавишный клавишно
композитор композиторы
континент континенты
концертный концертных
король король
корпус корпуса
космос космос
который которых
красивый красивейшие
крыло крыло
крышка крышкой крышку
культура культура
любить любят
лёгкий легчайшего
материал материалов
мелодия мелодия
меняться меняться
молоточек молоточки
мороженое мороженое
музицировать музицировать
музыка музыка музыку
музыкальный музыкальный музыкальных
музыкант музыкант музыкантов
мы нам
навигатор навигатор
нажать нажмёт
название название
назвать назван назвать
наслать нашли
настоящий настоящий
начало начало
небольшой небольших
недаром недаром
непростой непростой
несомненно несомненно
ночь ночь
оба оба
обязательный обязательна
один одну
означать означает
он нём
онлайн онлайн
оркестр оркестр
остальной остальных
острый острое
ответ ответа
оценить оцените
очень очень
палец пальцы
педаль педали
пианина пианин
пианино пианино
пианист пианиста
пиано пиано
пианофорт пианофорте
писать писать
поднять поднимут
пожалуй пожалуй
помещение помещениях
похожий похожую
почему почему
право права
правовой правовая
праздник праздники
практически практически
привлекать привлекают
привычный привычное
природа природа
произойти произошло
прямо прямо
разделыпопулярноезадать разделыпопулярноезадать
различать различают
разница разница
расположение расположением
расположить расположенным расположены
растение растения
родственник родственники
рождаться рождается
рояль рояль
сайт сайта
сам сами
самый самым
свой свой
сделать сделай сделать
секрет секрет секретом
сила сила
слово слов
слух слух
совершенный совершенным
специальный специальные
спорт спорт
спрятать спрятанные
спустя спустя
ссылка ссылка
стать станут
статья статью статьям
страна страны
струна струн струнам струны
струнный струнные
сцена сцену
техника техника
тихий тихим тише
тихо тихо
торжественный торжественная
транспорт транспорт
тянуться тянутся
ударить ударит
ударять ударяют
удивительный удивительный
укрепиться укрепилось
условие условиях
факт факты
форт форте
фортепиано фортепиано
хотеть хочу
цвет цвета
целый целый
цивилизациязрение цивилизациязрение
чавинскай чавинская
часть часть
человек человек человека
что чём
чёрный чёрным
энциклопедия энциклопедия
энциклопедиявсе энциклопедиявсе
это это
ящик ящик
