австралия австралии
акробат акробатом
америка америки
брат брата
важный важны
весело весело
взрослый взрослых
вниз вниз
вобщий вобще
воин воинами
вокруг вокруг
вопрос вопрос
время времени
врослый врослый
всё всё
второе второе
выбрать выбрал
выполнять выполнять
вырасти вырастешь
главное главное
голос голосов
движение движений
детский детская
динозавр динозавры
длиннеечавинский длиннеечавинская
добиться добьёшься
довольно довольно
достаточно достаточно
желание желание
жестокий жестокими
животное животные животных
жить живут
задать задайте
занимательный занимательные занимательный
захотеть захочет
защитить защищены
зимой зимой
знать знаете знать
изобретение изобретения
именно именно
интересный интересный
информация информация
использование использовании
история история
каждый каждого каждое каждый
какой какие какую
карта карта
кенгуру кенгуру
когонибудь когонибудь
коготь когото
континент континенты
координация координации
космос космос
кроме кроме
культура культура
материал материалов
многий многих
навигатор навигатор
например например
наслать нашли
настроить настроить
научиться научиться
начало начало
необходимо необходимо
неплохой неплохим
несколько несколько
ночь ночь
образ образом
обучение обучения
обязательно обязательно
обязательный обязательна
один одним
около около
онлайн онлайн
отважный отважными
ответ ответа
отойти отойти
оценить оцените
очень очень
первоначальный первоначального
первый первое первых
пока пока
получаться получается
получиться получится
помочь помочь
понадобиться понадобится
понимать понимать
понять понять
попросить попроси
попытка попытка
почему почему
поэтому поэтому
право права
правовой правовая
праздник праздники
пригодиться пригодится
природа природа
программист программиста
простой простых
профессия профессию
прямо прямо
равно равно
разделыпопулярноезадать разделыпопулярноезадать
разница разница
расстраиваться расстраивайся
растение растения
ребята ребят
ребёнок ребенка ребенок
регулярно регулярно
результат результата
родитель родителей родителя
рука руках
сайт сайта
самый самыми
сверху сверху
свой свой
сделать сделай сделать
сила сил
сильно сильно
сколько сколько
скорый скором
следующий следующим
смочь сможет сможешь
совет советов
спорт спорт
спортсмен спортсмена
сразу сразу
ссылка ссылка
старший старшего
стать стать
статья статью статьям
стена стены
стойка стойка
стоя стоя
стояние стояние
стоять стоять
страна страны
строитель строителя
такой таким такое
техника техника
транспорт транспорт
ты тебе
увлекательно увлекательно
упорно упорно
упорство упорстве
упражнение упражнение упражнений упражнению упражнения
факт факты
физический физическое
ходить ходить
хотеть хочу
цивилизациязрение цивилизациязрение
часть часть
человек человек человека
чтоацтек чтоацтеки
чёткий четкой
энциклопедия энциклопедия
энциклопедиявсе энциклопедиявсе
этап этапов этапом
это это
этот этому
южный южной
являться является
