автомобиль автомобиле
апогей апогей
астроном астрономы
бассейн бассейна
близкий близкое
болид болида
быстрый быстрее
весь всей
видеть видеть
влиять влиять
внимание внимание
вода воду
вокруг вокруг
вопрос вопрос вопросов
восемь восемь
вращаться вращается
временами временами
время время
всё всё
выглядеть выглядела
галактический галактические
голос голосов
двигаться двигается
движение движения
детский детская
диаметр диаметр
динозавр динозавры
диск диск
длиннеечавинский длиннеечавинская
дно дна
дорожный дорожного
доставать доставая
достигать достигает
единственный единственный
ехать ехать
её её
животное животные животных
жизнь жизнь
загадка загадок
загораживать загораживает
задать задайте
занимательный занимательные
защитить защищены
земля земле землей земли земля
зимой зимой
знать знаете знать
игрушка игрушки
изобретение изобретения
информация информация
использование использовании
история история
казаться кажется
какой какое каком
карта карта
километр километр километрам километров
км км
кмч кмч
континент континенты
космический космическом
космос космос
который которого
круг кругу
культура культура
лазерный лазерным
лишь лишь
лохнесский лохнесское
луна луна луне луной луну луны
лунаменяетсвоюформ лунаменяетсвоюформу
луч лучем лучу
лёгкий легче
максимально максимально
максимальный максимальное
мало мало
материал материалов
менее менее
минимальный минимальное
минус минус
миф миф
москва москва
мочь могут можем
мы нам
навигатор навигатор
называться называется
нарушать нарушая
наслать нашли
настоящий настоящее
научиться научиться
находиться находилась находится
начало начало
наш нашей нашу
небесный небесное
небольшой небольшой
несколько нескольких
ночь ночь
нырять нырять
обязательный обязательна
один одной одну
окружность окружности
онлайн онлайн
определять определять
орбита орбите
осветить освещенной
остановка остановки
ответ ответа
отлив отливы
отражать отражает
отчий отчего
оценить оцените
падать падает
перигей перигей
периодически периодически
планета планете
площадь площади
полгода полугода
полететь полетят
половина половину
получиться получиться
помощь помощью
потребоваться потребовалось
почему почему
правда правда
правило правила
право права
правовой правовая
праздник праздники
превышать превышать
предмет предметы
преодолеть преодолеть
приближаться приближается
приближение приближение
прибор приборов
прилив приливы
примерно примерно
приплюснуть приплюснутому
природа природа
притягивать притягивает притягивать
пространство пространстве
протяжение протяжении
прямо прямо
равняться равняется
разделыпопулярноезадать разделыпопулярноезадать
различный различные
разница разница
ракета ракете
расстояние расстояние расстоянии
растение растения
россия россии
сайт сайта
сам сама
самый самое
сантиметр сантиметров
свет света
светиться светиться
свой своей свой
сделать сделай
себя собой
секунда секунды
сильно сильно
скорость скорость скоростью
слуна слуна
снова снова
современный современных
сокращаться сокращается
солнечный солнечного
солнце солнца солнцем
составлять составляет
сотня сотни
спорт спорт
спутник спутник
среднее среднем
ссылка ссылка
ставить ставя
статья статью статьям
сторона стороне сторону
страна страны
строго строго
сумеречный сумеречной
такой такое
тело тело
температура температура
техника техника
точность точностью
транспорт транспорт
требоваться требуется
тысячелетие тысячелетий
удаваться удается
факт факты
формировать формируя
формулыинтересный формулыинтересно
хотеть хочу
целый целым
цивилизациязрение цивилизациязрение
часть часть
человек людей люди человек человека
чтолёгкий чтолегче
чудовище чудовище
эллипс эллипсу
энциклопедия энциклопедия
энциклопедиявсе энциклопедиявсе
этакий этакий
это это
