астроном астрономом
атом атомами
бесцветный бесцветным
биолог биологом
бояться боялось
бывать бывает
важный важное
вдвое вдвое
венеция венеции
весь всем
вещество вещество
вода воды
возможность возможности
вопрос вопрос
время временем
всё всё
выплавлять выплавляют
вырасти вырастешь
высокий высокой
галактика галактики
год лет
голос голосов
градус градусов
давно давно
далеко далеко
дальний дальние
делать делали делать делают
дело деле
детский детская
динозавр динозавры
длиннеечавинский длиннеечавинская
добавить добавить
добавлять добавляют
довольно довольно
дождь дождя
дорого дорого
другой другие
железо железа
животное животные животных
жить жить
жёлтый желтым
задать задайте
занимательный занимательные занимательных
защитить защищены
звезда звезды
здесьто здесьто
зелёный зеленый
зеркало зеркал
зимой зимой
знакомиться знакомиться
знакомство знакомство
знать знаете знаешь знать знаю
известно известно
известь известь
изготавливать изготавливать
изделие изделия
изобретение изобретения
изогнутый изогнутое
иметь имея
интересный интересен
информация информация
использование использовании
использовать использовать
история история
карта карта
кварцевый кварцевый
колонизировать колонизировать
компонент компоненты
континент континенты
концентрировать концентрировать
коричневый коричневым
космос космос
который которое которые который
красивый красивые
красный красным
культура культура
линза линзы
луч луч
любой любого
марс марс
маск маск
масса массе
мастер мастера мастеров
мастерастеклодув мастерастеклодувы
материал материал материалов материалом
медь медь
металл металлов
микроскоп микроскоп микроскопов
многие многие
молекула молекулами
мурано мурано
мурановский мурановского
наблюдать наблюдать
навигатор навигатор
называться называется
налить налить
например например
наслать нашли
научиться научились
начало начало
начать начнем
небо небе
невозможно невозможно
немало немало
никель никеля
ночь ночь
нужный нужна
общаться общаться
обыкновенный обыкновенным
обязательный обязательна
однако однако
оконный оконное
оксид оксида оксиды
они ними
онлайн онлайн
оптический оптических
основной основной
особенно особенно
остров остров острове
ответ ответа
отдельно отдельно
отправить отправили
оттенок оттенков
оценить оцените
очень очень
очко очков
песок песка песок
печь печах
плавиться плавится
плавление плавления
планета планету
познакомиться познакомиться
покорить покорить
получиться получится
помощь помощью
посуда посуду посуды
почему почему
появляться появляется
право права
правовой правовая
праздник праздники
предел пределы
предстоять предстоит
прибор приборах
привычный привычный привычных
придавать придают
применяться применяются
природа природа
прозрачный прозрачным
производство производстве
просто просто
простой простой
прямо прямо
радуга радуга
разделыпопулярноезадать разделыпопулярноезадать
разница разница
разный разных
расплавить расплавленной
рассеивать рассеивать
раствориться растворилось
растение растения
сайт сайта
сам самом
световой световой
свой свой
связанный связанных
сделать сделай
сегодня сегодня
секрет секретов
сказать скажешь
слава слава
следующий следующее
смешать смешать
смочь сможешь
сода сода соды
соединение соединения
состав состав составе
специальный специальных
спорт спорт
средневековый средневековой
ссылка ссылка
стакан стакан
стать стали станешь
статья статью статьям
стекло стекла стекло стеклом
стеклянный стеклянные
стоить стоили
страна страны
считать считают
такой такие
телескоп телескопа телескопов
температура температуре температуру
техника техника
течение течении
тонкий тонкие
транспорт транспорт
ты тебе
увеличительный увеличительного
увидеть увидишь
узнать узнали
украшение украшений украшения
уменьшать уменьшают
уран урана
учёный ученым
факт фактов факты
фиолетовый фиолетовым
химический химические
хотеть хочет хочу
хром хром
цвет цвет
цветной цветным
цивилизациязрение цивилизациязрение
чай чай
часть часть
человек людей люди человек человека
чтоилона чтоилон
шагнуть шагнула
энциклопедия энциклопедия
энциклопедиявсе энциклопедиявсе
это это
