бездумный бездумная
беззащитный беззащитной
бескормица бескормицу
бой боя
больший большим
большой большой
быть будут
важный важное
ветка ветки
взрослый взрослых
вид виды
вниз вниз
внимание внимание
возвращаться возвращаются
вопрос вопрос
восстановиться восстановиться
восстановление восстановление
впрок впрок
враг враг врага врагов
вред вредом
всё всё
выбрать выбрать
главный главнее
год года лет
голод голода
голос голосов
двигаться двигаться
движение движении
действие действие
дело дело
детский детская
динозавр динозавры
длиннеечавинский длиннеечавинская
длинный длиннее
длительный длительный
длиться длиться
дожидаться дожидаются
достаточно достаточно
драка драках
другой другое
животное животное животные животных
жизненный жизненной
жизнь жизни жизнь
жир жира
забава забавы
заболеть заболеть
задать задайте
задний задних
занимательный занимательные
занимать занимает
занятие занятие
запас запасы
защитить защищены
здоровье здоровью
зимой зимой
змея змеи
знать знаете знать
значение значение
иерархия иерархии
изготовление изготовления
изобретение изобретения
иметь имеет
информация информация
использование использовании
использовать используют
испуганный испуганное
история история
казаться кажется
карта карта
континент континенты
кончик кончик
космос космос
который который
культура культура
кустарник кустарникам
лапа лапах
легко легко
лишь лишь
ловля ловля
маленький маленький маленькой
манёвр маневр
материал материалов
местность местности
месяц месяц
милый милых
минута минуты
мочь могут
мышца мышцы
навигатор навигатор
найти найти
накапливаться накапливаются
нападение нападение
наслать нашли
начало начало
начинать начинает
некоторый некоторые
несколько несколько
новый новый
ночь ночь
нужный нужная
обязательный обязательна
огромный огромному
он нём
онлайн онлайн
опасность опасности
особенно особенно
особь особей
отбрасывай отбрасывае
отбрасывать отбрасывает
отбросить отбросить
отваливаться отваливается
ответ ответа
отвлекать отвлекающий
отпасть отпавший
отразить отразить
отрастать отрастать
отращивать отращивает
оценить оцените
очень очень
партнёр партнёра
передвигаться передвигаться
передвижение передвижения
переключаться переключается
период период
питание питанием
плавание плавания
победить победить
поберечь поберечь
подвергать подвергает
позвонок позвонки
позиция позиций
пока пока
покой покой
пол пола
поле поля
помогать помогает
помощь помощью
пополнять пополняя
потерять потеряв
почему почему
поэтому поэтому
правда правда
право права
правовой правовая
праздник праздники
пресмыкаться пресмыкающихся
природа природа
продолжать продолжает
продолжение продолжением
просто просто
противоположный противоположного
процесс процесс
прыжок прыжков
прямо прямо
ради ради
разделыпопулярноезадать разделыпопулярноезадать
размер размер
разница разница
разрываться разрываются
расположить расположенные расположены
растение растения
резко резко
рептилия рептилии рептилий
ретироваться ретироваться
риск риску
сайт сайта
сам сама самой
самый самое самый
сбрасываться сбрасывается
сбросить сбросить сброшенный
свой свой
сделать сделай сделать
сезонный сезонную
скатываться скатывается
служить служат
случай случае
смертельный смертельной
собственный собственный
событие событие
создание созданий
сокращать сокращать
сокращаться сокращаться
сопровождаться сопровождается
сородич сородичи
социальный социальной
специальный специальные
спорт спорт
сразу сразу
ссылка ссылка
становиться становиться
стараться старается
статья статью статьям
страна страны
стресс стрессом
судорожно судорожно
считаться считаться
съедать съедает
тайна тайне
тело тела
техника техника
течение течение
транспорт транспорт
туловище туловища
тыс тыс
удивительный удивительных
уйти уйдёт
умереть умереть
успевать успевает
устрашать устрашают
факт факты
хвост хвост хвоста хвосте
хотеть хочу
хранить хранили
цепляться цепляются
цивилизациязрение цивилизациязрение
часть часть
человек человек человека
чешуя чешуи
чтокитаец чтокитайцы
шевелиться шевелиться
шёлк шелка
энергия энергии
энциклопедия энциклопедия
энциклопедиявсе энциклопедиявсе
это это
этот этих
юркать юркая
являться является
ящерица ящериц ящерица ящерицы
ящерка ящерка ящерки
