больший большую
большинство большинство
браться берутся
великолепный великолепные
взрослый взрослых
возможно возможно
волновать волнует
воля воле
вопрос вопрос
время время
всё всё
вы вами
выделять выделяют
вынудить вынужден
гавкать гавкают
главное главное
говорить говорить говорят
говориться говорится говориться
голова голову
голос голосов
грациозный грациозны
давать дают
даваться дается
делать делают
детский детская
динозавр динозавры
длиннеечавинский длиннеечавинская
догадка догадках
дождевой дождевых
долгий долгие
дом доме
домашний домашние домашними
достаточно достаточно
единый едином
живой живой
животное животные животных
жизнерадостный жизнерадостнее
жизнь жизнь
житель житель
жить живут
забавный забавнее
зависеть зависит
загадка загадкой
заговорить заговорят
задать задайте
заметить заметьте
занимательный занимательные
запоминать запоминает запоминают
защитить защищены
звук звуки звуков
зимой зимой
знать знаете знать
значение значения
зря зря
издавать издают
изз изза
изобретение изобретения
именно именно
иметь имеет
имитатор имитаторы
имитировать имитируют
интересно интересно
интуитивно интуитивно
информация информация
использование использовании
история история
какоеть какоето
капля капель
карта карта
контактировать контактируют
континент континенты
копировать копировать копируют
космос космос
который которые которых
кошка кошки
красивый красивы
кроме кроме
культура культура
легко легко
лишь лишь
ломать ломать
любимец любимцами
лёгкий легче
лёгкость легкостью
материал материалов
механически механически
мнение мнении
многие многие
многий многих
моментально моментально
мочь могут
мучение мучения
навигатор навигатор
надолго надолго
напоминать напоминает
например например
насколько насколько
наслать нашли
начало начало
начинать начинает
наш наша нашу
нежели нежели
ночь ночь
обитать обитают
общаться общаться общаются
общение общения
обязательно обязательно
обязательный обязательна
один одно
онлайн онлайн
определённый определенных
орган органов
особенный особенным
остаться останется
ответ ответа
отдельный отдельные
откуда откуда
отличаться отличаются
отметить отметить
отчий отчего
оценить оцените
память память
пернатый пернатый пернатых
повторение повторение
повторять повторяют
подстраиваться подстраиваясь
позволять позволяет
положительный положительные
получаться получается
помощь помощи
понимать понимая
попугай попугаев попугаи попугай попугая
попугайодиночка попугайодиночка
порадовать порадует
порой порой
постоянный постоянное
почему почему
поэтому поэтому
право права
правовой правовая
праздник праздники
предполагать предполагают
представитель представителей
представить представьте
привлекательный привлекательная
природа природа природе
произнести произнести
происходить происходит
просить просили
просто просто
прямо прямо
птица птица птице птицы
птичка птички
путаться путаются
пылесос пылесоса
работать работающего
радуга радуга
развить развита
разговаривать разговаривать разговариваю разговаривают
разговор разговор
разделыпопулярноезадать разделыпопулярноезадать
различный различные
размер размера
разница разница
растение растения
ребёнок детям
результат результаты
речь речи речь
родный родное
рождение рождения
сайт сайта
сам сами самого
свой свой
сделать сделай
себя собой
сегодня сегодня
сказать сказать
следовать следует
слово слов слово
слух слуха
случай случае
слышать слышат
снежинка снежинки
собака собаки
собеседник собеседника
сойтись сойтись
спорт спорт
среди среди
ссылка ссылка
становиться становятся
статья статью статьям
страна страны
строение строением
такой такого
техника техника
тот те
точно точно
транспорт транспорт
удивительно удивительно
уметь умеют
уникальный уникальные
услышать услышав услышат
учёный ученые ученых
факт факты
фраза фразу
хомяк хомяки
хотеть хочу
цивилизациязрение цивилизациязрение
часть часть
человек людьми человек человека человеком
человеческий человеческая
чемтый чемто
чисто чисто
чтоот чтоот
чтоть чтото
энциклопедия энциклопедия
энциклопедиявсе энциклопедиявсе
это это
этот эта
яркий яркая
