аккуратный аккуратным
бедный бедных
больший больших
большинство большинство
брейк брейки
бывать бывают
быть будут
важно важно
весна весна весной
вешать вешать
взять взять
внимание внимание
внимательно внимательно
внутрь внутрь
вообще вообще
вопрос вопрос
вперёд вперед
время времена время
всё всё
вывести вывести
выход выходу
главное главное
год лет
голос голосов
горожанин горожане
готовый готовый
дачник дачники
два две
делать делайте делать делают
дело дело
деревянный деревянные
детский детская
динозавр динозавры
длинный длиннее
дождь дождем
должный должен
домик домик домиках домики домиков
донышко донышко
доска доски досок
дощечка дощечек
дсп дсп
европеец европейцы
жарко жарко
животное животные животных
жилище жилищ
забыть забыли
задать задайте
заделывать заделывать
занимательный занимательные
занимать занимает
заниматься занимался
заняться заняться
запах запах запаха запахов
защитить защищены
зевательный зевательные
зелёный зеленый
зимой зимой
знать знаете знать
значит значит
значительно значительно
изготовление изготовлением
изобретение изобретения
изучить изучив
иметь имеющие
интересно интересно
информация информация
искать ищут
использование использовании
использовать использовать
история история
карабкаться карабкаться
карта карта
квадратный квадратных
квартира квартир
клей клей
компания компаниях
континент континенты
космос космос
который которые которых
красивый красивы
красить красить
краска краской
крепить крепят
крепкий крепким
круглый круглое
крышка крышка
культура культура
легко легко
летать летать
любить любят
маленький маленькие
малый меньший
материал материалов
место место
многие многие
мода моду
момент момент
мочь могли
мы нам
навигатор навигатор
назад назад
наклонить наклонить
наружный наружную
наслать нашли
начало начало
начинаться начинается
небо небом
некоторый некоторые некоторых
необходимый необходимое
несколько несколько
новый новые новый новых
ночь ночь
нравиться нравится
нужно нужно
нужный нужен
обратить обратить
обязательный обязательна
огорчаться огорчаться
окно окнами
около около
окрашивать окрашивать окрашивают
онлайн онлайн
осень осенью
отверстие отверстие
ответ ответа
отделывать отделывают
открытый открытым
оценить оцените
очень очень
парковый парков
первый первого
передний переднюю
перезимовать перезимует
переносить переносят
плохо плохо
побывать побывали
повышаться повышается
подобрать подобрав
подходящий подходящее
пожалеть пожалейте
покрасить покрасить
полежать полежали
получиться получилось
помочь поможет
понравиться понравятся
попасть попасть
построить построить
почему почему
появиться появилась
право права
правовой правовая
праздник праздники
предусмотреть предусмотрены
прежде прежде
привезти привезли
прилететь прилетевшее
примерно примерно
приниматься приниматься
природа природа
просто просто
прочный прочным
прямо прямо
прямоугольный прямоугольных
птенец птенцов
птенчик птенчикам
птица птицы
птичий птичий птичьи птичьих
птичка птичек птичкам птички
пух пухом
пёрышко перышками
пётр петра
разделыпопулярноезадать разделыпопулярноезадать
различать различают
различаться различаются
размер размерами
разница разница
разный разные
раработоспособность раработоспособность
растение растения
резьба резьбой
россия россии
рука руками
сайт сайта
сам сами
самый самое
свежий свежих
свой своими своих свой
сделать сделай сделанных
селиться селиться
семейство семейство
синичка синички
сквер скверов
скворец скворца
скворечник скворечник скворечника скворечники скворечников
смастерить смастерить
смола смолу
смотреть см
снег снегом
солнышко солнышке
состав составе
сотрудник сотрудников
специально специально
спорт спорт
ссылка ссылка
статья статью статьям
стена стены
стенка стенку
стоить стоит
столетие столетий
сторона сторону
страна страны
строительство строительства строительстве
стругать струганные
считать считает
техника техника
толстый толстые
толщина толщина
тонкий тоньше
тот те тому
традиция традицию традиция
транспорт транспорт
триста триста
удовольствие удовольствием
узнать узнать
уметь умеющим
устанавливать устанавливают
утеплить утеплят
участок участках
учёный ученых
факт факты
фанера фанеры
холодно холодно
хотеть хочу
хотеться хочется
хотя хотя
царь царя
цвет цвет цвета
цивилизациязрение цивилизациязрение
чавинскай чавинская
часть часть
человек люди человек человека
четыре четыре
щель щелей
энциклопедия энциклопедия
энциклопедиявсе энциклопедиявсе
это этим это
японец японцев
ящичек ящички
