аляска аляски
беда беду
благодаря благодаря
болтать болтают
больший большие
быстрый быстрее
вид видов
визгливый визгливый
вопрос вопрос
время времен
всё всё
второй второй
высокий высокие высоким
выше выше
глубина глубинах
голова головой
голос голосов
грустный грустным
давний давних
давно давно
дельфин дельфин дельфинам дельфинами дельфинов дельфины
дельфиненка дельфиненок
день день
детский детская
диапазон диапазоне
динозавр динозавры
длинный длиннее
довольно довольно
довольствоваться довольствуется
доказательство доказательств
друг друг друга
другой другим
ещё ещё
её её
желать желающим
животное животное животные животных
забывать забывать
загадочный загадочного
задать задайте
заключение заключение
занимательный занимательные
запас запасы
затем затем
защитить защищены
звук звук звуками звуки
звуковой звуковых
зимой зимой
знак знаки
знать знаете знать
золото золота
известно известно
издавать издавать
издать издаст
изобретение изобретения
иметь имеют
интеллектуальный интеллектуальные
информация информация
использование использовании
использовать используют
исследователь исследователям
история история
карта карта
килогерц килогерц
контакт контакт
континент континенты
короткий коротким коротких
космос космос
который которому которые который которым
культура культура
лай лай
легко легко
маленький маленький
мама маму
материал материалов
медленный медленная
мелодичный мелодичным
местораждение местораждение
мир мира
млекопитающее млекопитающих
морской морских
мочь могут
навигатор навигатор
напоминать напоминающий
наслать нашли
начало начало
наш наша
незнакомый незнакомой
нефть нефти
ночь ночь
нужный нужны
обмениваться обмениваются
обнаружить обнаружены
образоваться образуются
обследование обследования
обстановка обстановки
общаться общаются
общение общением общения
общий общем
обязательный обязательна
они ними
онлайн онлайн
ориентироваться ориентироваться
основный основных
особый особом
ответ ответа
ответить ответить
отличаться отличаются
оценить оцените
очень очень
первый первый
писк писк
плавать плавают
плавник плавниками
подавать подавать
подводный подводного
позвать позвать
поиск поиска
пока пока
помогать помогают
помощь помощью
понять понять
попасть попал
почему почему
право права
правовой правовая
праздник праздники
прекрасный прекрасных
препятствие препятствий
привлечь привлечь
примерно примерно
природа природа природы
продажа продажи
прямо прямо
пустой пустую
разговаривать разговаривают
разделыпопулярноезадать разделыпопулярноезадать
раздражить раздражен
различимый различимы
разница разница
разный разными
раскрыть раскрыть
рассердить рассерженный
растение растения
речь речь
сайт сайта
самец самцам
самка самку
свист свист
свободно свободно
свой своей своем свой
свойственный свойственен
сделать сделай
себя собой
сегодняшний сегодняшний
сигнал сигналов сигналы
сказать сказать
слишком слишком
слышать слышать слышит
смерчь смерчь
смочь сможет
сонарный сонарные
сообщить сообщить
состояние состоянии
специальный специальных
спорт спорт
способ способами
способность способности
ссылка ссылка
статья статью статьям
стая стае стаи
стоить стоит
страна страны
тайна тайны
также также
таки таки
тело тела
территория территории
техника техника
тип тип
тонкий тонкий
торнадо торнадо
точный точных
транспорт транспорт
тявкать тявкающий
удаться удалось
узнать узнает
ультразвуковой ультразвуковые
умный умнее
установить установить
учёный ученым
факт факты
хвост хвостом
хотеть хотели хочу
цивилизациязрение цивилизациязрение
чавинскай чавинская
частота частоты
часть часть
человек люди человек человека человеком
человеческий человеческая
чересчур чересчур
член члена
щебет щебеты
эмоциональный эмоциональном
энциклопедия энциклопедия
энциклопедиявсе энциклопедиявсе
это это
этот этих
эхолокационный эхолокационные
язык язык языке
