белый белых
бродить бродить
бурый бурых
великан великану
вес вес
весить весить
вещество веществами
вид вида
вопрос вопрос
впадать впадают
вполне вполне
время времени время
всеядный всеядные
всё всё
выбрать выбрал
выдаваться выдаётся
вырастать вырастают
выходить выходить
голод голода
голос голосов
давать давайте
два двух
детский детская
детство детства
динозавр динозавры
длина длину
длинный длиннее
древний древних
еда еда
жертвоприношение жертвоприношения
животное животные животных
животный животному
жир жира
жить живёт
зависеть зависит
зависимость зависимости
задать задайте
занимательный занимательные
запас запас
защитить защищены
зима зима зиму
зимой зимой
знать знаете знать знают
известно известно
изобретение изобретения
интересно интересно
информация информация
использование использовании
история история
какой какую
камчатский камчатские
карта карта
кг кг
климатический климатических
континент континенты
космос космос
косолапый косолапого косолапый
крупный крупные
культура культура
лес лесу
лист листьев
ловить ловят
лохнесский лохнесское
майя майя
материал материалов
медведица медведицы
медведь медведей медведи медведь медведю медведя
медвежонок медвежатами
место места
месяц месяцев
метр метров
миф миф
мишка мишки
млекопитающее млекопитающие
мочь могут
мы нам
мёд мёда
наверное наверное
навигатор навигатор
найти найти
накопиться накопившегося
например например
напросто напросто
напрямую напрямую
наслать нашли
начало начало
небо небе
некоторый некоторые
несколько несколько
неспешно неспешно
неудача неудачей
нора норы
ночь ночь
нужно нужно
нужный нужна
обязательный обязательна
огомный огомная
оканчиваться оканчиваются
онлайн онлайн
организм организм
ослабить ослаблен
ответ ответа
отличие отличие
отчий отчего
оценить оцените
очень очень
пережить пережить
песенка песенок
питаться питается питаются
пища пище пищи пищу
поиск поиски
полезный полезными
половина половиной
полтора полутора
почему почему
почуять почуяв
поэтому поэтому
появляться появляется
правда правда
право права
правовой правовая
праздник праздники
практически практически
представлять представляете
прекрасно прекрасно
природа природа
продолжаться продолжается
продолжительность продолжительность
просто просто
прямо прямо
пячка пячка
разделыпопулярноезадать разделыпопулярноезадать
разница разница
разобраться разберёмся
растение растения
расходоваться расходуется
рыба рыбу
сайт сайта
сам самого
самец самцы
свой своей свой
связать связана
сделать сделай
сказка сказок
сколько сколько
слишком слишком
солнышко солнышко
сон сон
соответственно соответственно
спать спит спят
спорт спорт
способ способ
спячка спячка спячки спячку
ссылка ссылка
статья статью статьям
страна страны
суровый суровой
считаться считалось
такой такое такому
тепло тепло
техника техника
транспорт транспорт
узнать узнать
условие условий
уходить уходят
учитывать учитывая
факт факты
хватать хватает
хитрый хитрый
хищник хищники
хотеть хочу
цивилизациязрение цивилизациязрение
чавинскай чавинская
час часов
часто часто
часть часть
человек человек человека
человеческий человеческие
честь честь
чудовище чудовище
энциклопедия энциклопедия
энциклопедиявсе энциклопедиявсе
это это
ягода ягод
