близкий ближайшем
больший большие
большой большое
борода бороды
боярин боярам
бугорок бугорки
вверх вверх
велеть велел
ветер ветра ветров
ветреный ветреная
вздуматься вздумается
влажность влажность
вниз вниз
вовсе вовсе
вода воды
водоём водоёмах
воздух воздуха воздухе
возможность возможность
вокруг вокруг
вообще вообще
вопрос вопрос
всё всё
выпадать выпадает
высота высоты
говорить говорят
голос голосов
двигаться движутся
дерево деревья
детский детская
диаметр диаметре
динозавр динозавры
длиннеечавинский длиннеечавинская
дождь дождь дождя
дом дом дома
дорога дороги
достаточно достаточно
достигать достигают
достигнуть достигнут
живописный живописными
животное животные животных
жить живущие
зависеть зависит
задать задайте
занимательный занимательные
запросто запросто
засыпать засыпает
защитить защищены
защищать защищает
земля земли землю
зимний зимним
зимой зимой
злой злых
знать знаете знать
игла иглу
идти идет
издавна издавна
изобретение изобретения
именно именно
информация информация
испариться испариться испарятся
использование использовании
история история
каждый каждую
карта карта
количество количество
континент континенты
космос космос
который которая которое
красивый красивых
красота красоту
кристаллик кристалликов
кружить кружат
культура культура
кустарник кустарниках
ледяной ледяных
лес леса
лететь летящие
лист листьях
литр литров
ложиться ложится
любоваться любоваться
лёгкий лёгких
маленький маленьких
материал материал материалов
мочь могут можем
набрать набрать
навигатор навигатор
назвать назвать
например например
напросто напросто
наслать нашли
начало начало
невероятно невероятно
несколько несколько
ночь ночь
облако облака
образовать образует образуют
объём объёма
обязательно обязательно
обязательный обязательна
огромный огромного
одеяло одеяло
один одна
онлайн онлайн
опасность опасностей
опасть опавших
ответ ответа
отличный отличный
отнести отнесут
оценить оцените
очень очень
падать падает падают
падение падение
пейзаж пейзажем
погода погода
подкарауливать подкарауливать
поднять поднимут
подхватываться подхватываются
покров покров
поле поля
получаться получается
порхать порхает
поток потоками
почему почему
поэтому поэтому
право права
правовой правовая
праздник праздники
превратиться превратиться
представлять представляет
прекрасный прекрасным
преображать преображает
привычный привычный
приземляться приземляются
природа природа
приспосабливать приспосабливают
причина причины
просто просто
прямо прямо
пётр петр
равнять равняет
развиваться развиваются
разделыпопулярноезадать разделыпопулярноезадать
разница разница
рассмотрение рассмотрении
растение растения
рациональный рациональные
река реках
рождаться рождаются
рубить рубить
сайт сайта
сантиметр сантиметров
свой свой
сделать сделай
север севере
семь семь
сказочный сказочным
смочь сможет
снег снег снега
снегопад снегопад
снежинка снежинки снежинку снежинок
снежный снежный
спорт спорт
ссылка ссылка
статья статью статьям
сторона сторону
страна страны
стремительно стремительно
строительный строительный
строить строят
сугроб сугробы
сцепляться сцепляются
такой таких
техника техника
транспорт транспорт
удивительно удивительно
уменьшаться уменьшается
уровень уровень
условно условно
факт факты
хлопья хлопья хлопьями
хобот хобот
холодный холодных
хотеть хочу
ценить ценим
цивилизациязрение цивилизациязрение
часть часть
человек людей люди человек человека
чтослон чтослон
энциклопедия энциклопедия
энциклопедиявсе энциклопедиявсе
эскимос эскимосы
ямка ямки
